Model_Base,Precision,FFT,PEFT,Rank,Train sample,Train_prompt,Train_iter,max_length_training,Seed_training,Temperature,top_p=0.95,Max_length_prediction,pred_prompt,SL_1,SL_2,AS_1,AS_2,default_svgs,Note_1,Note_2
Llama-3.2-1B-Instruct,FP16,No,No,NA,2k,Alpaca simple,2k,2048,123,0.7,0.95,1024,Alpaca simple,0.0012,,,,,FP16,vllm
Llama-3.2-1B-Instruct,FP16,No,LoRA,64,2k,Alpaca simple,2k,2048,123,0.7,0.95,1024,Alpaca simple,,,,,,,
Llama-3.2-1B-Instruct,FP16,No,LoRA,128,2k,Alpaca simple,2k,2048,123,0.7,0.95,1024,Alpaca simple,,,,,,,
Llama-3.2-1B-Instruct,FP16,No,LoRA,256,2k,Alpaca simple,2k,2048,123,0.7,0.95,1024,Alpaca simple,0.457,0.69,,,26,FP16,vllm
Llama-3.2-1B-Instruct,FP16,YES,NA,NA,2k,Alpaca simple,1k,2048,123,0.7,0.95,1025,Alpaca simple,0.55,0.625,,,9,,vllm
Llama-3.2-1B-Instruct-FFT,FP16,No,LoRA,256,2k,Alpaca simple,2k,2048,123,0.7,0.95,1024,Alpaca simple,,,,,,,
Llama-3.2-3B-Instruct,FP16,No,No,NA,2k,Alpaca simple,2k,2048,123,0.7,0.95,1024,Alpaca simple,,,,,,,
Llama-3.2-3B-Instruct,FP16,No,LoRA,64,2k,Alpaca simple,2k,2048,123,0.7,0.95,1024,Alpaca simple,,,,,,,
Llama-3.2-3B-Instruct,FP16,No,LoRA,128,2k,Alpaca simple,2k,2048,123,0.7,0.95,1024,Alpaca simple,,,,,,,
Llama-3.2-3B-Instruct,FP16,No,LoRA,256,2k,Alpaca simple,2k,2048,123,0.7,0.95,1024,Alpaca simple,0.615,0.78,,,16,FP16,vllm
Qwen25_7B_Instruct,FP16,No,LoRA,256,2k,Alpaca simple,1k,2048,123,0.7,0.95,1024,Alpaca simple,,,,,,,
Qwen25_7B_Instruct,FP16,No,LoRA,256,2k,Alpaca simple,1k,2048,123,0.7,0.95,1024,Alpaca simple,0.507,0.66,,,17,FP16,unsloth
Qwen25_7B_Instruct,FP16,No,LoRA,256,2k,Alpaca simple,1k,2048,123,0.7,0.95,1024,Alpaca simple,0.605,0.77,,,16,AWQ,vllm
Qwen25_14B_Instruct,FP16,No,LoRA,256,2k,Alpaca simple,1k,2048,123,0.7,0.95,1024,Alpaca simple,,,,,,AWQ,
Qwen25_32B_Instruct,FP16,No,LoRA,256,2k,Alpaca simple,1k,2048,123,0.7,0.95,1024,Alpaca simple,,,,,,AWQ,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SL1- with all svgs,,,,,,,,,,,,,,,,,,,,
SL2-without default svgs,,,,,,,,,,,,,,,,,,,,
