topic,svg_code,response,score
"'Golden wheat fields under a setting sun',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background for the sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""100"" fill=""orange"" opacity=""0.7""/>
  
  <!-- Sun -->
  <circle cx=""100"" cy=""50"" r=""30"" fill=""yellow"" opacity=""0.8""/>
  
  <!-- Wheat fields -->
  <rect x=""0"" y=""100"" width=""200"" height=""100"" fill=""goldenrod""/>
  
  <!-- Wheat stalks -->
  <g stroke=""saddlebrown"" stroke-width=""2"">
    <line x1=""30"" y1=""100"" x2=""30"" y2=""150""/>
    <line x1=""50"" y1=""100"" x2=""50"" y2=""150""/>
    <line x1=""70"" y1=""100"" x2=""70"" y2=""150""/>
    <line x1=""90"" y1=""100"" x2=""90"" y2=""150""/>
    <line x1=""110"" y1=""100"" x2=""110"" y2=""150""/>
    <line x1=""130"" y1=""100"" x2=""130"" y2=""150""/>
    <line x1=""150"" y1=""100"" x2=""150"" y2=""150""/>
    <line x1=""170"" y1=""100"" x2=""170"" y2=""150""/>
  </g>
  
  <!-- Wheat heads -->
  <g fill=""gold"" stroke=""saddlebrown"" stroke-width=""0.5"">
    <ellipse cx=""30"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""50"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""70"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""90"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""110"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""130"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""150"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""170"" cy=""95"" rx=""5"" ry=""10""/>
  </g>
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background for the sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""100"" fill=""orange"" opacity=""0.7""/>
  
  <!-- Sun -->
  <circle cx=""100"" cy=""50"" r=""30"" fill=""yellow"" opacity=""0.8""/>
  
  <!-- Wheat fields -->
  <rect x=""0"" y=""100"" width=""200"" height=""100"" fill=""goldenrod""/>
  
  <!-- Wheat stalks -->
  <g stroke=""saddlebrown"" stroke-width=""2"">
    <line x1=""30"" y1=""100"" x2=""30"" y2=""150""/>
    <line x1=""50"" y1=""100"" x2=""50"" y2=""150""/>
    <line x1=""70"" y1=""100"" x2=""70"" y2=""150""/>
    <line x1=""90"" y1=""100"" x2=""90"" y2=""150""/>
    <line x1=""110"" y1=""100"" x2=""110"" y2=""150""/>
    <line x1=""130"" y1=""100"" x2=""130"" y2=""150""/>
    <line x1=""150"" y1=""100"" x2=""150"" y2=""150""/>
    <line x1=""170"" y1=""100"" x2=""170"" y2=""150""/>
  </g>
  
  <!-- Wheat heads -->
  <g fill=""gold"" stroke=""saddlebrown"" stroke-width=""0.5"">
    <ellipse cx=""30"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""50"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""70"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""90"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""110"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""130"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""150"" cy=""95"" rx=""5"" ry=""10""/>
    <ellipse cx=""170"" cy=""95"" rx=""5"" ry=""10""/>
  </g>
</svg>
```",0.9949734210968018
" 'Vibrant orange circles on a cobalt blue background',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""cobaltblue"" />
  <circle cx=""50"" cy=""50"" r=""30"" fill=""orange"" />
  <circle cx=""150"" cy=""50"" r=""30"" fill=""orange"" />
  <circle cx=""50"" cy=""150"" r=""30"" fill=""orange"" />
  <circle cx=""150"" cy=""150"" r=""30"" fill=""orange"" />
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""cobaltblue"" />
  <circle cx=""50"" cy=""50"" r=""30"" fill=""orange"" />
  <circle cx=""150"" cy=""50"" r=""30"" fill=""orange"" />
  <circle cx=""50"" cy=""150"" r=""30"" fill=""orange"" />
  <circle cx=""150"" cy=""150"" r=""30"" fill=""orange"" />
</svg>
```",0.05070352554321289
" 'Emerald silk dress with silver embroidery',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background for the dress -->
  <rect x=""50"" y=""30"" width=""100"" height=""140"" fill=""green"" opacity=""0.8"" rx=""10"" ry=""10""/>
  
  <!-- Silver embroidery pattern -->
  <path d=""M60 50 Q70 40, 80 50 T100 50 T120 50"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  <path d=""M60 70 Q70 60, 80 70 T100 70 T120 70"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  <path d=""M60 90 Q70 80, 80 90 T100 90 T120 90"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  <path d=""M60 110 Q70 100, 80 110 T100 110 T120 110"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  <path d=""M60 130 Q70 120, 80 130 T100 130 T120 130"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  
  <!-- Dress neckline -->
  <ellipse cx=""100"" cy=""30"" rx=""50"" ry=""20"" fill=""green"" opacity=""0.8""/>
  
  <!-- Dress sleeves -->
  <ellipse cx=""50"" cy=""70"" rx=""20"" ry=""40"" fill=""green"" opacity=""0.8""/>
  <ellipse cx=""150"" cy=""70"" rx=""20"" ry=""40"" fill=""green"" opacity=""0.8""/>
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background for the dress -->
  <rect x=""50"" y=""30"" width=""100"" height=""140"" fill=""green"" opacity=""0.8"" rx=""10"" ry=""10""/>
  
  <!-- Silver embroidery pattern -->
  <path d=""M60 50 Q70 40, 80 50 T100 50 T120 50"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  <path d=""M60 70 Q70 60, 80 70 T100 70 T120 70"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  <path d=""M60 90 Q70 80, 80 90 T100 90 T120 90"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  <path d=""M60 110 Q70 100, 80 110 T100 110 T120 110"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  <path d=""M60 130 Q70 120, 80 130 T100 130 T120 130"" fill=""none"" stroke=""silver"" stroke-width=""2""/>
  
  <!-- Dress neckline -->
  <ellipse cx=""100"" cy=""30"" rx=""50"" ry=""20"" fill=""green"" opacity=""0.8""/>
  
  <!-- Dress sleeves -->
  <ellipse cx=""50"" cy=""70"" rx=""20"" ry=""40"" fill=""green"" opacity=""0.8""/>
  <ellipse cx=""150"" cy=""70"" rx=""20"" ry=""40"" fill=""green"" opacity=""0.8""/>
</svg>
```",0.00040372993680648506
" 'Snowy mountains under a clear blue sky',","<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""100"" fill=""skyblue"" />
  
  <!-- Mountains -->
  <polygon points=""30,80 70,30 110,80"" fill=""white"" stroke=""gray"" stroke-width=""1"" />
  <polygon points=""90,80 130,40 170,80"" fill=""white"" stroke=""gray"" stroke-width=""1"" />
  
  <!-- Ground -->
  <rect x=""0"" y=""80"" width=""200"" height=""20"" fill=""lightgray"" />
</svg>","```svg
<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""100"" fill=""skyblue"" />
  
  <!-- Mountains -->
  <polygon points=""30,80 70,30 110,80"" fill=""white"" stroke=""gray"" stroke-width=""1"" />
  <polygon points=""90,80 130,40 170,80"" fill=""white"" stroke=""gray"" stroke-width=""1"" />
  
  <!-- Ground -->
  <rect x=""0"" y=""80"" width=""200"" height=""20"" fill=""lightgray"" />
</svg>
```",0.9788435697555542
" 'Checkerboard pattern with alternating green and black squares',","<svg viewBox=""0 0 100 100"" width=""100"" height=""100"">
  <rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""green"" />
  <rect x=""50"" y=""0"" width=""50"" height=""50"" fill=""black"" />
  <rect x=""0"" y=""50"" width=""50"" height=""50"" fill=""black"" />
  <rect x=""50"" y=""50"" width=""50"" height=""50"" fill=""green"" />
</svg>","```svg
<svg viewBox=""0 0 100 100"" width=""100"" height=""100"">
  <rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""green"" />
  <rect x=""50"" y=""0"" width=""50"" height=""50"" fill=""black"" />
  <rect x=""0"" y=""50"" width=""50"" height=""50"" fill=""black"" />
  <rect x=""50"" y=""50"" width=""50"" height=""50"" fill=""green"" />
</svg>
```",0.9981808662414551
" 'Turquoise lagoon surrounded by rocky cliffs',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Turquoise Lagoon -->
  <circle cx=""100"" cy=""100"" r=""50"" fill=""turquoise"" />

  <!-- Rocky Cliffs -->
  <polygon points=""20,150 50,80 80,150"" fill=""gray"" />
  <polygon points=""120,150 150,80 180,150"" fill=""gray"" />
  <polygon points=""0,180 30,110 60,180"" fill=""darkgray"" />
  <polygon points=""140,180 170,110 200,180"" fill=""darkgray"" />
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Turquoise Lagoon -->
  <circle cx=""100"" cy=""100"" r=""50"" fill=""turquoise"" />

  <!-- Rocky Cliffs -->
  <polygon points=""20,150 50,80 80,150"" fill=""gray"" />
  <polygon points=""120,150 150,80 180,150"" fill=""gray"" />
  <polygon points=""0,180 30,110 60,180"" fill=""darkgray"" />
  <polygon points=""140,180 170,110 200,180"" fill=""darkgray"" />
</svg>
```",0.011415664106607437
" 'Crimson and gold spirals intertwining',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""crimsonGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%"">
      <stop offset=""0%"" style=""stop-color:crimson;stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:gold;stop-opacity:1"" />
    </linearGradient>
  </defs>
  <g transform=""translate(100,100)"">
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(0)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(60)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(120)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(180)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(240)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(300)"" />
  </g>
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""crimsonGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%"">
      <stop offset=""0%"" style=""stop-color:crimson;stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:gold;stop-opacity:1"" />
    </linearGradient>
  </defs>
  <g transform=""translate(100,100)"">
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(0)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(60)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(120)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(180)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(240)"" />
    <path d=""M0,0 C20,-20 40,-20 60,0 S100,20 120,0"" fill=""none"" stroke=""url(#crimsonGradient)"" stroke-width=""4"" transform=""rotate(300)"" />
  </g>
</svg>
```",0.5626581311225891
" 'A navy blue trench coat with brass buttons',","<svg viewBox=""0 0 200 300"" width=""200"" height=""300"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Trench Coat Body -->
  <path d=""M50,50 Q75,20 100,50 Q125,20 150,50 L150,250 Q125,280 75,280 Q50,250 50,250 Z"" fill=""navy"" stroke=""black"" stroke-width=""2""/>
  
  <!-- Left Sleeve -->
  <path d=""M50,50 Q30,100 50,150"" fill=""navy"" stroke=""black"" stroke-width=""2""/>
  
  <!-- Right Sleeve -->
  <path d=""M150,50 Q170,100 150,150"" fill=""navy"" stroke=""black"" stroke-width=""2""/>
  
  <!-- Brass Buttons -->
  <circle cx=""100"" cy=""100"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
  <circle cx=""100"" cy=""130"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
  <circle cx=""100"" cy=""160"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
  <circle cx=""100"" cy=""190"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
  <circle cx=""100"" cy=""220"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
</svg>","```svg
<svg viewBox=""0 0 200 300"" width=""200"" height=""300"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Trench Coat Body -->
  <path d=""M50,50 Q75,20 100,50 Q125,20 150,50 L150,250 Q125,280 75,280 Q50,250 50,250 Z"" fill=""navy"" stroke=""black"" stroke-width=""2""/>
  
  <!-- Left Sleeve -->
  <path d=""M50,50 Q30,100 50,150"" fill=""navy"" stroke=""black"" stroke-width=""2""/>
  
  <!-- Right Sleeve -->
  <path d=""M150,50 Q170,100 150,150"" fill=""navy"" stroke=""black"" stroke-width=""2""/>
  
  <!-- Brass Buttons -->
  <circle cx=""100"" cy=""100"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
  <circle cx=""100"" cy=""130"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
  <circle cx=""100"" cy=""160"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
  <circle cx=""100"" cy=""190"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
  <circle cx=""100"" cy=""220"" r=""3"" fill=""gold"" stroke=""black"" stroke-width=""1""/>
</svg>
```",0.9500479698181152
" 'Scarlet rectangles on a cream backdrop',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""cream"" />
  <rect x=""30"" y=""30"" width=""50"" height=""100"" fill=""scarlet"" />
  <rect x=""120"" y=""50"" width=""40"" height=""80"" fill=""scarlet"" />
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""cream"" />
  <rect x=""30"" y=""30"" width=""50"" height=""100"" fill=""scarlet"" />
  <rect x=""120"" y=""50"" width=""40"" height=""80"" fill=""scarlet"" />
</svg>
```",4.24977002921878e-07
" 'Sunset over a tranquil lake with pine trees',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""100"" fill=""orange"" />
  <!-- Lake -->
  <rect x=""0"" y=""100"" width=""200"" height=""100"" fill=""blue"" />
  <!-- Sun -->
  <circle cx=""100"" cy=""50"" r=""20"" fill=""yellow"" />
  <!-- Pine Trees -->
  <polygon points=""30,120 40,80 50,120"" fill=""green"" />
  <polygon points=""60,130 70,90 80,130"" fill=""green"" />
  <polygon points=""150,120 160,80 170,120"" fill=""green"" />
  <polygon points=""120,130 130,90 140,130"" fill=""green"" />
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""100"" fill=""orange"" />
  <!-- Lake -->
  <rect x=""0"" y=""100"" width=""200"" height=""100"" fill=""blue"" />
  <!-- Sun -->
  <circle cx=""100"" cy=""50"" r=""20"" fill=""yellow"" />
  <!-- Pine Trees -->
  <polygon points=""30,120 40,80 50,120"" fill=""green"" />
  <polygon points=""60,130 70,90 80,130"" fill=""green"" />
  <polygon points=""150,120 160,80 170,120"" fill=""green"" />
  <polygon points=""120,130 130,90 140,130"" fill=""green"" />
</svg>
```",0.9843834042549133
